date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:57:57	24657/24657	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:57:53%20GMT	http://www.vilagradwines.co.nz/functions/tours--tastings/	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/functions/tours--tastings/index.html	(from http://www.vilagradwines.co.nz/)
15:57:58	26265/26265	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:57:54%20GMT	http://www.vilagradwines.co.nz/bookings/booksundaylunch/	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/bookings/booksundaylunch/index.html	(from http://www.vilagradwines.co.nz/)
15:57:59	27369/27369	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:57:56%20GMT	http://www.vilagradwines.co.nz/functions/vilagrad-dinner-xmas-parties-/	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/functions/vilagrad-dinner-xmas-parties-/index.html	(from http://www.vilagradwines.co.nz/)
15:58:02	13503/13503	---M--	200	added ('OK')	image/jpeg	etag:%22018be493597d01:0%22	http://www.vilagradwines.co.nz/UserFiles/VilagradWines/Image/Summerivinesevents2.jpg	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/UserFiles/VilagradWines/Image/Summerivinesevents2.jpg	(from http://www.vilagradwines.co.nz/)
15:58:02	26808/26808	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:57:59%20GMT	http://www.vilagradwines.co.nz/functions/vilagrad-lunch-xmas-parties-/	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/functions/vilagrad-lunch-xmas-parties-/index.html	(from http://www.vilagradwines.co.nz/)
15:58:05	28886/28886	---M--	200	added ('OK')	image/jpeg	etag:%2205a80ce3ca2d01:0%22	http://www.vilagradwines.co.nz/UserFiles/VilagradWines/Image/home-play-video.jpg	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/UserFiles/VilagradWines/Image/home-play-video.jpg	(from http://www.vilagradwines.co.nz/)
15:58:11	35994/35994	---M--	200	added ('OK')	image/jpeg	etag:%220317c787d71d01:0%22	http://www.vilagradwines.co.nz/UserFiles/VilagradWines/Image/foodandwine.jpg	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/UserFiles/VilagradWines/Image/foodandwine.jpg	(from http://www.vilagradwines.co.nz/)
15:58:12	51535/51535	---M--	200	added ('OK')	image/jpeg	etag:%2207778ea5e72d01:0%22	http://www.vilagradwines.co.nz/UserFiles/VilagradWines/Image/homewedding1.jpg	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/UserFiles/VilagradWines/Image/homewedding1.jpg	(from http://www.vilagradwines.co.nz/)
15:58:14	23468/23468	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:58:11%20GMT	http://www.vilagradwines.co.nz/CDF_ModuleNews/Display/Details/255?NewsSetId=91&PageId=24586	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/CDF_ModuleNews/Display/Details/25597ac.html	(from http://www.vilagradwines.co.nz/)
15:58:15	22675/22675	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:58:11%20GMT	http://www.vilagradwines.co.nz/CDF_ModuleNews/Display/Details/249?NewsSetId=91&PageId=24586	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/CDF_ModuleNews/Display/Details/24997ac.html	(from http://www.vilagradwines.co.nz/)
15:58:16	2711/2711	---M--	200	added ('OK')	image/jpeg	etag:%220621133137ed01:0%22	http://www.vilagradwines.co.nz/UserFiles/VilagradWines/News/generated/249_1_thumb.jpg	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/UserFiles/VilagradWines/News/generated/249_1_thumb.jpg	(from http://www.vilagradwines.co.nz/)
15:58:17	8679/8679	---M--	200	added ('OK')	image/png	etag:%220365099f14ed01:0%22	http://www.vilagradwines.co.nz/UserFiles/VilagradWines/Image/footer-logo.png	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/UserFiles/VilagradWines/Image/footer-logo.png	(from http://www.vilagradwines.co.nz/)
